Anho,Moneda,Mes,G / ME,ME / USD
2003,NLG,2,"2.784,79","2,4957"
2003,DKK,2,"1.008,06","6,8944"
2003,ESP,2,"36,88","188,4300"
2003,NOK,2,"962,76","7,2188"
2003,ATS,2,"445,98","15,5836"
2003,ITL,2,"3,17","2.192,8300"
2003,BEF,2,"152,13","45,6850"
2003,BRL,2,"1.938,09","3,5860"
2003,ARS,2,"2.185,53","3,1800"
2003,CAD,2,"4.658,49","1,4919"
2003,ZAR,2,"870,52","7,9837"
2003,SDR,2,"9.514,55","1,3690"
2003,XAU,2,"2.443.967,50","351,6500"
2003,VEF,2,"4,35","1.596,0000"
2003,CLP,2,"9,24","752,5000"
2003,EUR,2,"7.487,24","1,0773"
2003,UYU,2,"246,02","28,2500"
2003,USD,3,"6.880,00","1,0000"
2003,DEM,3,"3.106,09","2,2150"
2003,JPY,3,"57,32","120,0300"
2003,GBP,3,"10.791,97","1,5686"
2003,CHF,3,"5.019,70","1,3706"
2003,FRF,3,"926,14","7,4287"
2003,SEK,3,"803,05","8,5673"
2003,NLG,3,"2.756,74","2,4957"
2003,DKK,3,"997,67","6,8961"
2003,ESP,3,"36,51","188,4300"
2003,NOK,3,"939,12","7,3260"
2003,ATS,3,"441,49","15,5836"
2003,ITL,3,"3,14","2.192,8300"
2003,BEF,3,"150,60","45,6850"
2003,BRL,3,"2.038,52","3,3750"
2003,ARS,3,"2.312,61","2,9750"
2003,CAD,3,"4.692,08","1,4663"
2003,ZAR,3,"866,36","7,9413"
2003,SDR,3,"9.376,75","1,3629"
2003,XAU,3,"2.275.904,00","330,8000"
2003,VEF,3,"4,31","1.596,0000"
2003,CLP,3,"9,46","727,3000"
2003,EUR,3,"7.407,01","1,0766"
2003,UYU,3,"240,56","28,6000"
2003,USD,4,"6.840,00","1,0000"
2003,DEM,4,"3.088,04","2,2150"
2003,JPY,4,"56,97","120,0600"
2003,GBP,4,"10.887,91","1,5918"
2003,CHF,4,"5.001,83","1,3675"
2003,FRF,4,"920,75","7,4287"
2003,SEK,4,"826,79","8,2730"
2003,NLG,4,"2.740,71","2,4957"
2003,DKK,4,"1.015,42","6,7361"
